,Movie Name,Genre,Country,Release Date,Percentage User score,Description,Movie link
48,Thérèse,['Drama'],FR,2012-05-27,58,An unhappily married woman struggles to break free from social pressures and her boring suburban setting.,https://www.themoviedb.org/movie/110323-therese-desqueyroux
49,Angela's Ashes,['Drama'],IE,2000-01-14,72,"An Irish Catholic family returns to 1930s Limerick after a child's death in America. The unemployed I.R.A. veteran father struggles with poverty, prejudice, and alcoholism as the family endures harsh slum conditions.",https://www.themoviedb.org/movie/10397-angela-s-ashes
50,The Awakening,"['Horror', 'Thriller', 'Mystery']",GB,2011-11-11,64,"In post–War England, a writer and sometime-ghost hunter investigates a reported haunting at a boys boarding school.",https://www.themoviedb.org/movie/77949-the-awakening
51,Cinderella,"['Fantasy', 'Romance', 'Comedy']",US,2021-09-03,64,"Cinderella, an orphaned girl with an evil stepmother, has big dreams and with the help of her Fabulous Godmother, she perseveres to make them come true.",https://www.themoviedb.org/movie/593910-cinderella
52,Over the Hedge,"['Family', 'Comedy', 'Animation']",EG,2006-09-13,66,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",https://www.themoviedb.org/movie/7518-over-the-hedge
53,Hitman,"['Action', 'Thriller', 'Drama']",EG,2007-11-21,61,"A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",https://www.themoviedb.org/movie/1620-hitman
54,Close to the Horizon,"['Romance', 'Drama']",DE,2019-10-10,79,Jessica knows exactly what her life is supposed to look like and where it takes her. But then she meets Danny. He has a complicated past and could confuse all their plans. Jessica has to decide.,https://www.themoviedb.org/movie/594634-dem-horizont-so-nah
55,Zom 100: Bucket List of the Dead,"['Comedy', 'Horror']",JP,2023-08-03,67,"Bullied by his boss, worked around the clock, he's nothing more than a corporate drone. All it takes is a zombie outbreak for him to finally feel alive!",https://www.themoviedb.org/movie/1070514-100-100
56,Eradication,"['Horror', 'Thriller']",US,2022-07-15,62,"When an unknown disease wipes out most of the world’s population, a man with unique blood is isolated for study. Fearing for his wife’s safety, he breaks his quarantine – into a world overrun by monstrous Infected and a shadowy agency hunting them down.",https://www.themoviedb.org/movie/993867-eradication
57,Curse of Chucky,"['Horror', 'Thriller']",US,2013-10-08,59,"After her mother's mysterious death, Nica begins to suspect that the talking, red-haired doll her visiting niece has been playing with may be the key to the mounting bloodshed and chaos.",https://www.themoviedb.org/movie/167032-curse-of-chucky
